GENESIS-Tabelle: 22541-01-04-4-B
Einrichtungen nach Alter der Kinder, genehmigte Plätze, tätige Personen  - Stichtage - regionale Ebenen;;;;;;;;;;;;;;;
Statistik der Tageseinrichtungen für Kinder;;;;;;;;;;;;;;;
;;;Tageseinrichtungen für Kinder;Tageseinrichtungen für Kinder;Tageseinrichtungen für Kinder;Tageseinrichtungen für Kinder;Tageseinrichtungen für Kinder;Einrichtungen mit integrativer Kinderbetreuung;Genehmigte Plätze;Tätige Personen;Tätige Personen;Tätige Personen;Tätige Personen;Tätige Personen;Rechn.Zahl d.Vollzeitstellen i.pädagogisch.Bereich
;;;;unter 3 Jahre;2 bis unter 8 Jahre (ohne Schulkinder);5 bis unter 14 Jahre (nur Schulkinder);Kinder aller Altersgruppen;;;Tätige Personen in Tageseinrichtungen für Kinder;Tätige Personen in Tageseinrichtungen für Kinder;Tätige Personen in Tageseinrichtungen für Kinder;Tätige Personen in Tageseinrichtungen für Kinder;Tätige Personen in Tageseinrichtungen für Kinder;
;;;;;;;;;;Tätige Personen insgesamt;pädagogisches Personal (ab 2011);pädagogisches Personal, weiblich (ab 2011);pädagogisches Personal (bis 2010);pädagogisches Personal Vollzeitstellen (bis 2010);
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01.03.2019;01;Schleswig-Holstein;1808;33;447;40;1288;816;119362;25154;19578;17809;-;-;15766
01.03.2019;02;Hamburg;1106;43;158;7;898;325;94622;19698;15441;13537;-;-;12399
01.03.2019;03;Niedersachsen;5460;162;1619;545;3134;1308;342060;68953;55464;51915;-;-;43923
01.03.2019;04;Bremen;454;27;84;23;320;180;27724;6580;5133;4577;-;-;4284
01.03.2019;05;Nordrhein-Westfalen;10215;132;4935;53;5095;5266;618099;137985;111396;105503;-;-;91714
01.03.2019;06;Hessen;4262;308;1344;164;2446;2178;301116;61567;48583;44522;-;-;37691
01.03.2019;07;Rheinland-Pfalz;2555;55;859;98;1543;625;181309;39824;30953;29209;-;-;24308
01.03.2019;08;Baden-Württemberg, Land;9117;711;3835;405;4166;3051;508215;107915;91778;86624;-;-;71633
01.03.2019;09;Bayern;9510;342;3008;916;5244;2983;639208;118806;97339;92740;-;-;75774
01.03.2019;10;Saarland;480;21;68;16;375;259;38656;8014;6328;6004;-;-;5154
01.03.2019;11;Berlin;2600;23;442;-;2135;1621;176867;37321;30735;27168;-;-;25867
01.03.2019;12;Brandenburg;1904;15;98;366;1425;427;203031;25401;20941;19161;-;-;17279
01.03.2019;13;Mecklenburg-Vorpommern;1102;6;41;157;898;270;116403;14943;11950;11132;-;-;10304
01.03.2019;14;Sachsen;3007;38;218;666;2085;1181;353682;40932;33249;30369;-;-;28329
01.03.2019;15;Sachsen-Anhalt;1800;28;86;382;1304;376;168413;21148;17996;16893;-;-;14961
01.03.2019;16;Thüringen;1328;20;105;-;1203;352;103436;17979;14410;13641;-;-;13057
__________
"zu ""gesamte Tabelle"":
Baden-Württemberg (Berichtsjahr 1995-2010): Gebietsstand
01.01.1979
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Berlin: Kreistabelle liegt auch für Bezirke vor
Brandenburg (Berichtsjahr 2008-2009): Nachträgliche Korrek-
turen in der Spalte 8 (Tätige Personen insgesamt) und der
Spalte 12 (pädagogisches Personal Vollzeitstellen) konnten
in der Datenbank nicht berücksichtigt werden
Berlin, Brandenburg (Berichtsjahr 2010): Nachträgliche Kor-
rekturen in der Spalte 12 (pädagogisches Personal Vollzeit-
stellen) konnten in der Datenbank nicht berücksichtigt wer-
den
Sachsen: Durch unabhängiges Runden können Differenzen
zwischen den Summen der Landkreise und kreisfreien Städte,
NUTS 2-Regionen gegenüber dem Landeswert entstehen.
 
zu ""genehmigte Plätze"":
(2011): Nachträgliche Korrekturen der Statistischen Landes-
ämter wurden im Bundesergebnis nicht mehr berücksichtigt.
 
zu ""Einrichtungen, in denen Kinder integrativ betreut
werden"":
Bayern, Sachsen: Ab dem Berichtsjahr 2011 werden nur noch
Einrichtungen gezählt, bei denen mindestens ein behindertes
Kind die Eingliederungshilfen tatsächlich auch in der Ein-
richtung erhält. In den Vorjahren wurde der Sachverhalt
integrative Einrichtung als Merkmal bei der Einrichtung
erfragt.
Baden-Württemberg: Aufgrund von Umstellungsproblemen im Zuge
der Änderung der Erhebungsunterlagen muss im Jahr 2012 von
einer leichten Übererfassung bei Kindern, die in der Kinder-
tageseinrichtungen Eingliederungshilfe aufgrund von
geistiger oder körperlicher Behinderungen erhalten haben,
und damit auch bei der Zahl der integrativen Einrichtungen
ausgegangen werden.
Sachsen-Anhalt: Tageseinrichtungen mit integrativer Be-
treuung (bis 2011 nur integrierte Einrichtungen)
 
zu ""Rechnerische Zahl der Vollzeitstellen im pädag. Be-
reich"":
Bayern, Mecklenburg-Vorpommern (2015), Niedersachsen,
Nordrhein-Westfalen, Saarland, Sachsen: Rundungsdifferenzen
bei der rechnerischen Zahl der Vollzeitstellen im pädago-
gischen Bereich sind möglich"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2020.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 22.08.2020 / 12:51:44
