1;2;;;3;4;4a;4b;5;5a;5b;6;6a;6b;7;7a;7b;8;8a;8b;9;9a;9b;10;10a;10b;11;11a;11b;12;12a;12b;13;13a;13b;14;14a;14b;15;15a;15b;16;16a;16b;17;17a;17b;18;18a;18b;19;19a;19b;20;20a;20b;21;21a;21b;22;22a;22b;23;23a;23b;24;24a;24b
Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Kreis;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt männlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre männlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre männlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre männlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre männlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre männlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt männlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre männlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre männlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - männlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre männlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - männlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre männlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre männlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - männlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - männlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - männlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - männlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - männlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - männlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - männlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;1001;Flensburg;voll.;1537;923;614;13;8;5;4;2;2;12;10;2;23;11;12;33;9;24;85;40;45;71;35;36;100;52;48;171;87;84;148;97;51;404;224;180;105;60;45;120;68;52;225;128;97;245;158;87;274;163;111;220;138;82;111;82;29;58;30;28;1133;699;434
------;Straftaten insgesamt;1001;Flensburg;vers.;107;76;31;0;0;0;0;0;0;1;1;0;0;0;0;5;3;2;6;4;2;5;3;2;12;8;4;17;11;6;7;4;3;30;19;11;3;1;2;6;4;2;9;5;4;19;14;5;22;15;7;13;11;2;7;6;1;7;6;1;77;57;20
------;Straftaten insgesamt;1001;Flensburg;insg.;1644;999;645;13;8;5;4;2;2;13;11;2;23;11;12;38;12;26;91;44;47;76;38;38;112;60;52;188;98;90;155;101;54;434;243;191;108;61;47;126;72;54;234;133;101;264;172;92;296;178;118;233;149;84;118;88;30;65;36;29;1210;756;454
------;Straftaten insgesamt;1002;Kiel;voll.;4019;2528;1491;27;14;13;14;5;9;32;20;12;37;25;12;76;38;38;186;102;84;110;62;48;179;102;77;289;164;125;418;255;163;893;521;372;288;184;104;325;218;107;613;402;211;648;426;222;763;457;306;597;406;191;327;214;113;178;102;76;3126;2007;1119
------;Straftaten insgesamt;1002;Kiel;vers.;239;155;84;0;0;0;1;0;1;0;0;0;1;1;0;2;1;1;4;2;2;7;4;3;10;8;2;17;12;5;16;8;8;37;22;15;10;7;3;24;15;9;34;22;12;39;26;13;48;33;15;45;29;16;23;16;7;13;7;6;202;133;69
------;Straftaten insgesamt;1002;Kiel;insg.;4258;2683;1575;27;14;13;15;5;10;32;20;12;38;26;12;78;39;39;190;104;86;117;66;51;189;110;79;306;176;130;434;263;171;930;543;387;298;191;107;349;233;116;647;424;223;687;452;235;811;490;321;642;435;207;350;230;120;191;109;82;3328;2140;1188
------;Straftaten insgesamt;1003;Lübeck;voll.;4605;2873;1732;34;15;19;30;16;14;34;22;12;54;34;20;102;58;44;254;145;109;150;96;54;196;113;83;346;209;137;386;230;156;986;584;402;289;182;107;286;180;106;575;362;213;611;374;237;1000;630;370;750;483;267;410;277;133;273;163;110;3619;2289;1330
------;Straftaten insgesamt;1003;Lübeck;vers.;324;240;84;1;1;0;2;2;0;2;0;2;3;3;0;6;3;3;14;9;5;7;3;4;6;3;3;13;6;7;24;19;5;51;34;17;20;12;8;16;13;3;36;25;11;59;45;14;72;55;17;53;45;8;36;28;8;17;8;9;273;206;67
------;Straftaten insgesamt;1003;Lübeck;insg.;4929;3113;1816;35;16;19;32;18;14;36;22;14;57;37;20;108;61;47;268;154;114;157;99;58;202;116;86;359;215;144;410;249;161;1037;618;419;309;194;115;302;193;109;611;387;224;670;419;251;1072;685;387;803;528;275;446;305;141;290;171;119;3892;2495;1397
