1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich;
------;Straftaten insgesamt;1001;Flensburg;KfS;voll.;1,441;896;545;7;3;4;3;2;1;5;3;2;9;5;4;21;9;12;45;22;23;47;29;18;91;54;37;138;83;55;113;71;42;296;176;120;120;71;49;119;76;43;239;147;92;231;143;88;251;160;91;221;134;87;130;94;36;73;42;31;1,145;720;425;0
------;Straftaten insgesamt;1001;Flensburg;KfS;vers.;106;72;34;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;3;0;3;4;0;4;1;1;0;5;1;4;9;4;5;17;5;12;2;2;0;14;13;1;16;15;1;21;14;7;29;21;8;15;10;5;5;5;0;3;2;1;89;67;22;0
------;Straftaten insgesamt;1001;Flensburg;KfS;insg.;1,547;968;579;8;3;5;4;2;2;5;3;2;9;5;4;22;9;13;48;22;26;51;29;22;92;55;37;143;84;59;122;75;47;313;181;132;122;73;49;133;89;44;255;162;93;252;157;95;280;181;99;236;144;92;135;99;36;76;44;32;1,234;787;447;0
------;Straftaten insgesamt;1002;Kiel;KfS;voll.;4,033;2,528;1,505;23;14;9;17;6;11;26;16;10;54;34;20;78;40;38;198;110;88;95;43;52;169;108;61;264;151;113;392;220;172;854;481;373;319;212;107;355;230;125;674;442;232;615;380;235;808;517;291;599;397;202;328;217;111;155;94;61;3,179;2,047;1,132;0
------;Straftaten insgesamt;1002;Kiel;KfS;vers.;205;139;66;2;1;1;3;0;3;4;1;3;4;1;3;3;0;3;16;3;13;7;3;4;8;6;2;15;9;6;10;8;2;41;20;21;13;11;2;13;11;2;26;22;4;32;24;8;42;30;12;33;25;8;17;8;9;14;10;4;164;119;45;0
------;Straftaten insgesamt;1002;Kiel;KfS;insg.;4,238;2.667;1,571;25;15;10;20;6;14;30;17;13;58;35;23;81;40;41;214;113;101;102;46;56;177;114;63;279;160;119;402;228;174;895;501;394;332;223;109;368;241;127;700;464;236;647;404;243;850;547;303;632;422;210;345;225;120;169;104;65;3,343;2,166;1,177;0
------;Straftaten insgesamt;1003;Lübeck;KfS;voll.;4,167;2,513;1,654;23;12;11;5;4;1;32;16;16;38;17;21;95;49;46;193;98;95;156;72;84;194;109;85;350;181;169;381;219;162;924;498;426;260;172;88;229;148;81;489;320;169;586;366;220;870;571;299;673;401;272;407;241;166;218;116;102;3,243;2,015;1,228;0
------;Straftaten insgesamt;1003;Lübeck;KfS;vers.;291;192;99;5;2;3;1;0;1;1;1;0;4;3;1;2;2;0;13;8;5;6;4;2;13;7;6;19;11;8;18;8;10;50;27;23;14;7;7;10;7;3;24;14;10;39;27;12;61;42;19;66;47;19;27;23;4;24;12;12;241;165;76;0
------;Straftaten insgesamt;1003;Lübeck;KfS;insg.;4,458;2,705;1,753;28;14;14;6;4;2;33;17;16;42;20;22;97;51;46;206;106;100;162;76;86;207;116;91;369;192;177;399;227;172;974;525;449;274;179;95;239;155;84;513;334;179;625;393;232;931;613;318;739;448;291;434;264;170;242;128;114;3,484;2,180;1,304;0
