1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;1001;Flensburg;KfS;voll.;1,783;1,123;660;8;5;3;4;3;1;11;5;6;20;14;6;34;18;16;77;45;32;93;48;45;100;66;34;193;114;79;180;108;72;450;267;183;131;88;43;113;79;34;244;167;77;291;203;88;328;193;135;246;150;96;139;96;43;85;47;38;1,333;856;477
------;Straftaten insgesamt;1002;Kiel;KfS;voll.;4,294;2,732;1,562;27;15;12;23;12;11;35;20;15;46;34;12;73;34;39;204;115;89;121;64;57;197;130;67;318;194;124;412;267;145;934;576;358;307;193;114;312;203;109;619;396;223;676;453;223;897;549;348;620;415;205;357;214;143;191;129;62;3,360;2,156;1,204
------;Straftaten insgesamt;1003;Luebeck;KfS;voll.;4,624;2,919;1,705;25;14;11;14;9;5;48;29;19;67;38;29;109;63;46;263;153;110;160;87;73;201;109;92;361;196;165;361;234;127;985;583;402;232;138;94;309;192;117;541;330;211;729;473;256;948;636;312;747;448;299;439;314;125;235;135;100;3,639;2,336;1,303
------;Straftaten insgesamt;1004;Neumuenster;KfS;voll.;1,813;1,100;713;7;6;1;18;7;11;13;9;4;26;21;5;54;33;21;118;76;42;82;42;40;127;83;44;209;125;84;218;132;86;545;333;212;117;72;45;111;70;41;228;142;86;251;156;95;350;211;139;240;149;91;133;70;63;66;39;27;1,268;767;501
------;Straftaten insgesamt;1051;Dithmarschen;K;voll.;1,453;845;608;11;4;7;4;3;1;9;6;3;20;13;7;51;28;23;95;54;41;66;39;27;121;63;58;187;102;85;150;80;70;432;236;196;124;80;44;85;56;29;209;136;73;188;102;86;204;109;95;215;129;86;138;92;46;67;41;26;1,021;609;412
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;voll.;1,907;1,111;796;31;15;16;10;6;4;25;16;9;29;14;15;63;35;28;158;86;72;95;48;47;85;43;42;180;91;89;190;121;69;528;298;230;99;62;37;100;63;37;199;125;74;233;129;104;344;195;149;271;165;106;189;109;80;143;90;53;1,379;813;566
------;Straftaten insgesamt;1054;Nordfriesland;K;voll.;1,767;1,061;706;21;12;9;8;4;4;10;5;5;34;23;11;60;26;34;133;70;63;49;29;20;88;55;33;137;84;53;183;112;71;453;266;187;121;71;50;92;60;32;213;131;82;222;139;83;302;189;113;258;148;110;184;113;71;135;75;60;1,314;795;519
------;Straftaten insgesamt;1055;Ostholstein;K;voll.;2,153;1,256;897;28;14;14;18;4;14;27;17;10;33;20;13;68;42;26;174;97;77;86;55;31;103;64;39;189;119;70;157;85;72;520;301;219;134;76;58;107;68;39;241;144;97;230;129;101;366;209;157;351;211;140;253;154;99;192;108;84;1,633;955;678
------;Straftaten insgesamt;1056;Pinneberg;K;voll.;2,903;1,649;1,254;31;16;15;13;7;6;26;19;7;61;33;28;96;44;52;227;119;108;110;57;53;150;95;55;260;152;108;221;143;78;708;414;294;157;86;71;175;103;72;332;189;143;399;244;155;572;303;269;441;229;212;267;173;94;184;97;87;2,195;1,235;960
------;Straftaten insgesamt;1057;Ploen;K;voll.;1,116;683;433;10;5;5;4;1;3;6;5;1;21;12;9;46;28;18;87;51;36;68;44;24;102;68;34;170;112;58;131;99;32;388;262;126;64;40;24;51;31;20;115;71;44;95;58;37;139;69;70;138;78;60;157;99;58;84;46;38;728;421;307
------;Straftaten insgesamt;1058;Rendsburg-Eckernfoerde;K;voll.;2,487;1,469;1,018;21;14;7;14;9;5;29;11;18;58;35;23;74;43;31;196;112;84;91;55;36;134;74;60;225;129;96;249;152;97;670;393;277;155;86;69;140;85;55;295;171;124;352;226;126;394;231;163;376;210;166;252;154;98;148;84;64;1,817;1,076;741
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;voll.;1,534;878;656;14;7;7;10;8;2;24;14;10;28;13;15;56;31;25;132;73;59;78;43;35;97;59;38;175;102;73;151;100;51;458;275;183;77;41;36;92;50;42;169;91;78;187;118;69;262;147;115;219;108;111;155;88;67;84;51;33;1,076;603;473
------;Straftaten insgesamt;1060;Segeberg;K;voll.;2,577;1,503;1,074;30;12;18;21;13;8;32;14;18;41;21;20;74;32;42;198;92;106;120;63;57;138;90;48;258;153;105;273;180;93;729;425;304;147;97;50;120;74;46;267;171;96;325;198;127;443;254;189;342;184;158;292;172;120;179;99;80;1,848;1,078;770
------;Straftaten insgesamt;1061;Steinburg;K;voll.;1,561;875;686;16;7;9;11;5;6;26;15;11;23;17;6;41;23;18;117;67;50;53;28;25;99;58;41;152;86;66;168;97;71;437;250;187;122;77;45;86;52;34;208;129;79;220;130;90;253;126;127;191;96;95;145;88;57;107;56;51;1,124;625;499
------;Straftaten insgesamt;1062;Stormarn;K;voll.;2,022;1,236;786;13;5;8;8;6;2;13;8;5;32;16;16;68;42;26;134;77;57;68;31;37;125;71;54;193;102;91;230;164;66;557;343;214;105;63;42;103;71;32;208;134;74;206;142;64;343;206;137;318;182;136;213;125;88;177;104;73;1,465;893;572
------;Straftaten insgesamt;2000;Hamburg;KfS;voll.;33,378;20,844;12,534;250;137;113;213;137;76;336;224;112;539;372;167;769;471;298;2,107;1,341;766;1,036;589;447;1,479;937;542;2,515;1,526;989;2,758;1,772;986;7,380;4,639;2,741;1,861;1,153;708;1,826;1,134;692;3,687;2,287;1,400;4,763;2,949;1,814;7,707;4,774;2,933;4,930;3,134;1,796;3,154;2,018;1,136;1,757;1,043;714;25,998;16,205;9,793
------;Straftaten insgesamt;3101;Braunschweig;KfS;voll.;4,170;2,638;1,532;46;16;30;18;7;11;27;15;12;54;33;21;73;36;37;218;107;111;120;55;65;190;108;82;310;163;147;412;275;137;940;545;395;304;208;96;267;191;76;571;399;172;671;429;242;880;567;313;546;323;223;389;270;119;173;105;68;3,230;2,093;1,137
------;Straftaten insgesamt;3102;Salzgitter;KfS;voll.;1,344;732;612;25;11;14;19;13;6;16;11;5;27;17;10;31;14;17;118;66;52;64;35;29;62;33;29;126;68;58;118;67;51;362;201;161;74;44;30;72;32;40;146;76;70;200;117;83;225;114;111;207;101;106;127;83;44;77;40;37;982;531;451
------;Straftaten insgesamt;3103;Wolfsburg;KfS;voll.;1,399;841;558;24;16;8;8;6;2;13;10;3;18;8;10;30;17;13;93;57;36;41;25;16;65;49;16;106;74;32;143;95;48;342;226;116;92;56;36;103;63;40;195;119;76;225;130;95;305;175;130;159;93;66;109;65;44;64;33;31;1,057;615;442
------;Straftaten insgesamt;3151;Gifhorn;LK;voll.;1,487;817;670;22;11;11;20;11;9;21;11;10;26;15;11;54;27;27;143;75;68;56;28;28;87;48;39;143;76;67;143;94;49;429;245;184;95;61;34;61;32;29;156;93;63;184;102;82;264;139;125;218;110;108;149;82;67;87;46;41;1,058;572;486
------;Straftaten insgesamt;3152;Goettingen;LK;voll.;3,411;2,108;1,303;40;18;22;19;11;8;33;14;19;42;22;20;80;50;30;214;115;99;128;86;42;184;135;49;312;221;91;354;246;108;880;582;298;224;137;87;238;158;80;462;295;167;477;282;195;601;358;243;476;279;197;327;189;138;188;123;65;2,531;1,526;1,005
------;Straftaten insgesamt;3153;Goslar;LK;voll.;1,806;1,045;761;31;16;15;16;8;8;30;13;17;28;17;11;55;22;33;160;76;84;85;47;38;80;48;32;165;95;70;161;109;52;486;280;206;99;66;33;118;57;61;217;123;94;232;131;101;281;162;119;243;133;110;198;129;69;149;87;62;1,320;765;555
------;Straftaten insgesamt;3154;Helmstedt;LK;voll.;1,005;584;421;14;5;9;8;3;5;15;7;8;27;19;8;37;23;14;101;57;44;44;29;15;59;30;29;103;59;44;87;52;35;291;168;123;53;37;16;46;29;17;99;66;33;119;64;55;156;87;69;166;97;69;109;65;44;65;37;28;714;416;298
