

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=632:38705597D
 
Sterbefälle durch Unfälle nach äußeren Ursachen und Unfallkategorien (ab 1998). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Nationalität, ICD-10 (V-Y), Unfallkategorie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Hamburg
Alter:;Unter 1 Jahr
Geschlecht:;Insgesamt
Nationalität:;Alle Nationalitäten
""
;;"";;;;;;;;
;;" Alle Unfallarten";" Arbeitsunfall";" Schulunfall";" Verkehrsunfall";" Heim- und Freizeitunfall";" Häuslicher Unfall";" Sport-, Spielunfall";" sonstiger Unfall";
"    2018";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"    2017";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"    2016";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"1";"";"";"";"1";"1";"";"";
"    2015";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2014";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2013";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2012";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2011";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"3";"";"";"";"3";"1";"";"2";
"    2010";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2009";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2008";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2007";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2006";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"    2005";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"1";"";"";"";"1";"1";"";"";
"       2004";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"1";"";"";"";"1";"";"";"1";
"       2003";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"1";"";"";"";"1";"1";"";"";
"       2002";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"       2001";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"    2000";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";
"    1999";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"1";"";"";"1";"";"";"";"";
"    1998";" V01-Y98 Äußere Ursachen von Morbidität und Mortalität und Folgezustände äußerer Ursachen";"";"";"";"";"";"";"";"";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Es können vereinzelt Abweichungen zwischen den vom Land Nordrhein-Westfalen veröffentlichten Ergebnissen und den hier dargestellten Ergebnissen für Nordrhein-Westfalen bei den Unfallkategorien auftreten."
"2.";"Ab dem Berichtsjahr 2016 werden nur noch Todesursachen, die lt. der ICD-10 als Unfall deklariert sind (V01-X59) nach Unfallkategorien ausgewertet."

****************************************************************************************************
Die Tabelle wurde am 03.08.2020 15:20 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Todesursachenstatistik, Statistisches Bundesamt, Zweigstelle Bonn"
