Model Used,Reference Area,REF_AREA,Indicator,Sex,Series Name,Series Category,Series Method,Series Type,Age Group of Women,Time Since First Birth,Series Year,Observation Status,Interval,Reference Date,Observation value,Standard Error,Unit of Measure,Lower Bound,Upper Bound
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1969.5,26336,,Number of deaths,25493,27148
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1970.5,24117,,Number of deaths,23587,24646
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1971.5,21922,,Number of deaths,21511,22342
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1972.5,19838,,Number of deaths,19473,20232
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1973.5,17920,,Number of deaths,17586,18297
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1974.5,16217,,Number of deaths,15913,16556
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1975.5,14736,,Number of deaths,14472,15021
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1976.5,13497,,Number of deaths,13253,13755
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1977.5,12466,,Number of deaths,12237,12704
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1978.5,11588,,Number of deaths,11364,11813
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1979.5,10830,,Number of deaths,10612,11043
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1980.5,10166,,Number of deaths,9969,10362
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1981.5,9582,,Number of deaths,9401,9764
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1982.5,9063,,Number of deaths,8895,9233
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1983.5,8605,,Number of deaths,8446,8759
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1984.5,8193,,Number of deaths,8044,8338
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1985.5,7816,,Number of deaths,7678,7950
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1986.5,7442,,Number of deaths,7310,7576
,Germany,DEU,Infant deaths,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1987.5,7058,,Number of deaths,6934,7189
