year, Alle Unfallarten, Arbeitsunfall, Schulunfall, Verkehrsunfall,Hein-und Freizeitunfall, Häuslicher Unfall," Sport-, Spielunfall", sonstiger Unfall
1998,7,,,2,5,2,,3
1999,3,,,1,2,,,2
2000,2,,,1,1,,,1
2001,2,,,1,1,,,1
2002,9,,,,9,2,1,6
2003,1,,,,1,1,,
2004,2,,,1,1,,1,
2005,2,,,1,1,1,,
2006,6,,,2,4,3,,1
2007,5,,,2,3,2,1,
2008,4,,,,4,,,4
2009,3,,,,3,2,,1
2010,3,,,2,1,1,,
2011,3,,,,3,,,3
2012,3,,,,3,,1,2
2013,5,,,1,4,2,1,1
2014,4,,,,4,3,,1
2015,1,,,,1,1,,
2016,8,,,3,5,1,1,3
2017,3,,,1,2,,1,1
2018,2,,,1,1,,,1
