year, absolut, je 1.000 Lebendgeborene
1980,154,.
1981,137,"10,2"
1982,151,"11,4"
1983,146,"11,4"
1984,103,"8,3"
1985,121,"9,5"
1986,116,"8,7"
1987,119,"8,3"
1988,118,"7,7"
1989,122,"8,0"
1990,102,"6,1"
1991,114,"6,9"
1992,107,"6,5"
1993,117,"7,2"
1994,86,"5,3"
1995,77,"4,9"
1996,103,"6,2"
1997,99,"5,8"
1998,68,"4,2"
1999,73,"4,6"
2000,72,"4,5"
2001,65,"4,1"
2002,55,"3,5"
2003,57,"3,6"
2004,63,"3,9"
2005,74,"4,6"
2006,56,"3,5"
2007,57,"3,4"
2008,49,"2,9"
2009,63,"3,8"
2010,67,"3,9"
2011,69,"4,0"
2012,62,"3,5"
2013,68,"3,7"
2014,63,...
2015,67,"3,4"
2016,58,"2,7"
2017,67,"3,2"
2018,56,"2,7"
,,
,,
,,
,,
,,
ERROR: (ORA-34492) Analytisches Arbeitsbereichsobjekt V2GD5002 ist nicht vorhanden.,,
In GBE.ISGBETOL!XS_FOOTNOTEREP PROGRAM:,,
  _disksize = obj(disksize joinchars('V2GD'_gdnumber)),,
,,
****************************************************************************************************,,
Die Tabelle wurde am 03.08.2020 14:04 Uhr unter www.gbe-bund.de erstellt.,,
****************************************************************************************************,,
,,
Quelle(n):,,
"Todesursachenstatistik, Statistisches Bundesamt, Zweigstelle Bonn",,
"Statistik der nat�rlichen Bev�lkerungsbewegung, Statistisches Bundesamt",,
