REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REF_DATE
Germany,Child deaths age 1 to 4,Female,1973-06,1521,Number of deaths,1973.5
Germany,Child deaths age 1 to 4,Female,1974-06,1389,Number of deaths,1974.5
Germany,Child deaths age 1 to 4,Female,1975-06,1260,Number of deaths,1975.5
Germany,Child deaths age 1 to 4,Female,1976-06,1141,Number of deaths,1976.5
Germany,Child deaths age 1 to 4,Female,1977-06,1042,Number of deaths,1977.5
Germany,Child deaths age 1 to 4,Female,1978-06,964,Number of deaths,1978.5
Germany,Child deaths age 1 to 4,Female,1979-06,900,Number of deaths,1979.5
Germany,Child deaths age 1 to 4,Female,1980-06,849,Number of deaths,1980.5
Germany,Child deaths age 1 to 4,Female,1981-06,808,Number of deaths,1981.5
Germany,Child deaths age 1 to 4,Female,1982-06,773,Number of deaths,1982.5
Germany,Child deaths age 1 to 4,Female,1983-06,743,Number of deaths,1983.5
Germany,Child deaths age 1 to 4,Female,1984-06,717,Number of deaths,1984.5
Germany,Child deaths age 1 to 4,Female,1985-06,694,Number of deaths,1985.5
Germany,Child deaths age 1 to 4,Female,1986-06,673,Number of deaths,1986.5
Germany,Child deaths age 1 to 4,Female,1987-06,650,Number of deaths,1987.5
Germany,Child deaths age 1 to 4,Female,1988-06,628,Number of deaths,1988.5
Germany,Child deaths age 1 to 4,Female,1989-06,601,Number of deaths,1989.5
Germany,Child deaths age 1 to 4,Female,1990-06,572,Number of deaths,1990.5
Germany,Child deaths age 1 to 4,Female,1991-06,538,Number of deaths,1991.5
Germany,Child deaths age 1 to 4,Female,1992-06,508,Number of deaths,1992.5
Germany,Child deaths age 1 to 4,Female,1993-06,476,Number of deaths,1993.5
Germany,Child deaths age 1 to 4,Female,1994-06,448,Number of deaths,1994.5
Germany,Child deaths age 1 to 4,Female,1995-06,421,Number of deaths,1995.5
Germany,Child deaths age 1 to 4,Female,1996-06,399,Number of deaths,1996.5
Germany,Child deaths age 1 to 4,Female,1997-06,379,Number of deaths,1997.5
Germany,Child deaths age 1 to 4,Female,1998-06,361,Number of deaths,1998.5
Germany,Child deaths age 1 to 4,Female,1999-06,345,Number of deaths,1999.5
Germany,Child deaths age 1 to 4,Female,2000-06,332,Number of deaths,2000.5
Germany,Child deaths age 1 to 4,Female,2001-06,319,Number of deaths,2001.5
Germany,Child deaths age 1 to 4,Female,2002-06,307,Number of deaths,2002.5
Germany,Child deaths age 1 to 4,Female,2003-06,294,Number of deaths,2003.5
Germany,Child deaths age 1 to 4,Female,2004-06,279,Number of deaths,2004.5
Germany,Child deaths age 1 to 4,Female,2005-06,266,Number of deaths,2005.5
Germany,Child deaths age 1 to 4,Female,2006-06,253,Number of deaths,2006.5
Germany,Child deaths age 1 to 4,Female,2007-06,241,Number of deaths,2007.5
Germany,Child deaths age 1 to 4,Female,2008-06,231,Number of deaths,2008.5
Germany,Child deaths age 1 to 4,Female,2009-06,221,Number of deaths,2009.5
Germany,Child deaths age 1 to 4,Female,2010-06,212,Number of deaths,2010.5
Germany,Child deaths age 1 to 4,Female,2011-06,205,Number of deaths,2011.5
Germany,Child deaths age 1 to 4,Female,2012-06,199,Number of deaths,2012.5
Germany,Child deaths age 1 to 4,Female,2013-06,194,Number of deaths,2013.5
Germany,Child deaths age 1 to 4,Female,2014-06,192,Number of deaths,2014.5
Germany,Child deaths age 1 to 4,Female,2015-06,190,Number of deaths,2015.5
Germany,Child deaths age 1 to 4,Female,2016-06,190,Number of deaths,2016.5
Germany,Child deaths age 1 to 4,Female,2017-06,189,Number of deaths,2017.5
Germany,Child deaths age 1 to 4,Female,2018-06,187,Number of deaths,2018.5
Germany,Child deaths age 1 to 4,Male,1973-06,2026,Number of deaths,1973.5
Germany,Child deaths age 1 to 4,Male,1974-06,1836,Number of deaths,1974.5
Germany,Child deaths age 1 to 4,Male,1975-06,1659,Number of deaths,1975.5
Germany,Child deaths age 1 to 4,Male,1976-06,1503,Number of deaths,1976.5
Germany,Child deaths age 1 to 4,Male,1977-06,1369,Number of deaths,1977.5
Germany,Child deaths age 1 to 4,Male,1978-06,1259,Number of deaths,1978.5
Germany,Child deaths age 1 to 4,Male,1979-06,1174,Number of deaths,1979.5
Germany,Child deaths age 1 to 4,Male,1980-06,1106,Number of deaths,1980.5
Germany,Child deaths age 1 to 4,Male,1981-06,1050,Number of deaths,1981.5
Germany,Child deaths age 1 to 4,Male,1982-06,1005,Number of deaths,1982.5
Germany,Child deaths age 1 to 4,Male,1983-06,965,Number of deaths,1983.5
Germany,Child deaths age 1 to 4,Male,1984-06,931,Number of deaths,1984.5
Germany,Child deaths age 1 to 4,Male,1985-06,901,Number of deaths,1985.5
Germany,Child deaths age 1 to 4,Male,1986-06,874,Number of deaths,1986.5
Germany,Child deaths age 1 to 4,Male,1987-06,846,Number of deaths,1987.5
Germany,Child deaths age 1 to 4,Male,1988-06,814,Number of deaths,1988.5
Germany,Child deaths age 1 to 4,Male,1989-06,780,Number of deaths,1989.5
Germany,Child deaths age 1 to 4,Male,1990-06,742,Number of deaths,1990.5
Germany,Child deaths age 1 to 4,Male,1991-06,702,Number of deaths,1991.5
Germany,Child deaths age 1 to 4,Male,1992-06,657,Number of deaths,1992.5
Germany,Child deaths age 1 to 4,Male,1993-06,615,Number of deaths,1993.5
Germany,Child deaths age 1 to 4,Male,1994-06,576,Number of deaths,1994.5
Germany,Child deaths age 1 to 4,Male,1995-06,542,Number of deaths,1995.5
Germany,Child deaths age 1 to 4,Male,1996-06,510,Number of deaths,1996.5
Germany,Child deaths age 1 to 4,Male,1997-06,484,Number of deaths,1997.5
Germany,Child deaths age 1 to 4,Male,1998-06,462,Number of deaths,1998.5
Germany,Child deaths age 1 to 4,Male,1999-06,442,Number of deaths,1999.5
Germany,Child deaths age 1 to 4,Male,2000-06,422,Number of deaths,2000.5
Germany,Child deaths age 1 to 4,Male,2001-06,404,Number of deaths,2001.5
Germany,Child deaths age 1 to 4,Male,2002-06,386,Number of deaths,2002.5
Germany,Child deaths age 1 to 4,Male,2003-06,368,Number of deaths,2003.5
Germany,Child deaths age 1 to 4,Male,2004-06,351,Number of deaths,2004.5
Germany,Child deaths age 1 to 4,Male,2005-06,334,Number of deaths,2005.5
Germany,Child deaths age 1 to 4,Male,2006-06,318,Number of deaths,2006.5
Germany,Child deaths age 1 to 4,Male,2007-06,303,Number of deaths,2007.5
Germany,Child deaths age 1 to 4,Male,2008-06,288,Number of deaths,2008.5
Germany,Child deaths age 1 to 4,Male,2009-06,276,Number of deaths,2009.5
Germany,Child deaths age 1 to 4,Male,2010-06,266,Number of deaths,2010.5
Germany,Child deaths age 1 to 4,Male,2011-06,257,Number of deaths,2011.5
Germany,Child deaths age 1 to 4,Male,2012-06,249,Number of deaths,2012.5
Germany,Child deaths age 1 to 4,Male,2013-06,244,Number of deaths,2013.5
Germany,Child deaths age 1 to 4,Male,2014-06,240,Number of deaths,2014.5
Germany,Child deaths age 1 to 4,Male,2015-06,240,Number of deaths,2015.5
Germany,Child deaths age 1 to 4,Male,2016-06,237,Number of deaths,2016.5
Germany,Child deaths age 1 to 4,Male,2017-06,236,Number of deaths,2017.5
Germany,Child deaths age 1 to 4,Male,2018-06,235,Number of deaths,2018.5
Germany,Child deaths age 1 to 4,Total,1973-06,3547,Number of deaths,1973.5
Germany,Child deaths age 1 to 4,Total,1974-06,3225,Number of deaths,1974.5
Germany,Child deaths age 1 to 4,Total,1975-06,2919,Number of deaths,1975.5
Germany,Child deaths age 1 to 4,Total,1976-06,2644,Number of deaths,1976.5
Germany,Child deaths age 1 to 4,Total,1977-06,2411,Number of deaths,1977.5
Germany,Child deaths age 1 to 4,Total,1978-06,2223,Number of deaths,1978.5
Germany,Child deaths age 1 to 4,Total,1979-06,2074,Number of deaths,1979.5
Germany,Child deaths age 1 to 4,Total,1980-06,1955,Number of deaths,1980.5
Germany,Child deaths age 1 to 4,Total,1981-06,1858,Number of deaths,1981.5
Germany,Child deaths age 1 to 4,Total,1982-06,1778,Number of deaths,1982.5
