

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=824:38705978D
 
Alleinerziehende mit Kindern unter 18 Jahren in 1000. Gliederungsmerkmale: Jahre, Region, Bezugsperson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Bezugspersonen:;Alle Geschlechter
""
;"";;;;;
;" Alleinerziehende mit Kindern unter 18 Jahren insgesamt";" Alleinerziehende mit Kindern unter 6 Jahren insgesamt";" Alleinerziehende mit Kindern von 6 bis unter 18 Jahren insgesamt";" Anteil der Alleinerziehenden an allen Familien in %";" nachrichtlich: alle Familien";
" 2018";"1.490";"417";"1.217";"18,5";"8.049";
" 2017";"1.549";"435";"1.263";"18,9";"8.204";
" 2016";"1.622";"486";"1.294";"19,8";"8.199";
" 2015";"1.644";"491";"1.308";"20,5";"8.032";
" 2014";"1.639";"484";"1.306";"20,3";"8.061";
" 2013";"1.615";"483";"1.281";"20,0";"8.064";
" 2012";"1.643";"500";"1.297";"20,3";"8.104";
" 2011";"1.622";"482";"1.285";"20,0";"8.114";
" 2010";"1.575";"462";"1.254";"19,4";"8.123";
" 2009";"1.560";"446";"1.248";"19,0";"8.225";
" 2008";"1.584";"452";"1.261";"18,8";"8.410";
" 2007";"1.570";"446";"1.250";"18,3";"8.572";
" 2006";"1.617";"459";"1.282";"18,5";"8.761";
" 2005";"1.563";"445";"1.239";"17,6";"8.901";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Alleinerziehende mit Kindern unter 18 Jahren insgesamt können Kinder in beiden aufgeführten Altersgruppen haben, die Ergebnisse der Summierung weichen deshalb von den Insgesamt-Werten ab."
"2.";"Ab dem Berichtsjahr 2016 wurde die Stichprobe des Mikrozensus auf eine neue Grundlage umgestellt. Damit basiert die Stichprobe erstmalig auf den Daten des Zensus 2011. Durch diese Umstellung ist die Vergleichbarkeit der Ergebnisse des Mikrozensus 2016 mit den Vorjahren eingeschränkt."

****************************************************************************************************
Die Tabelle wurde am 03.08.2020 16:12 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Mikrozensus - Haushalts- und Familienstatistik, Statistisches Bundesamt, Zweigstelle Bonn"
