

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=824:38705978D
 
Alleinerziehende mit Kindern unter 18 Jahren in 1000. Gliederungsmerkmale: Jahre, Region, Bezugsperson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Hamburg
Bezugspersonen:;Alle Geschlechter
""
;"";;;;;
;" Alleinerziehende mit Kindern unter 18 Jahren insgesamt";" Alleinerziehende mit Kindern unter 6 Jahren insgesamt";" Alleinerziehende mit Kindern von 6 bis unter 18 Jahren insgesamt";" Anteil der Alleinerziehenden an allen Familien in %";" nachrichtlich: alle Familien";
" 2018";"41";"12";"32";"22,4";"183";
" 2017";"42";"14";"34";"22,8";"184";
" 2016";"42";"13";"34";"23,9";"176";
" 2015";"48";"15";"38";"27,1";"177";
" 2014";"47";"15";"36";"27,3";"172";
" 2013";"46";"15";"36";"26,9";"171";
" 2012";"49";"17";"37";"29,0";"169";
" 2011";"46";"14";"37";"27,9";"165";
" 2010";"47";"17";"36";"28,5";"165";
" 2009";"41";"14";"32";"25,2";"163";
" 2008";"44";"15";"34";"26,5";"166";
" 2007";"43";"14";"34";"25,0";"172";
" 2006";"44";"15";"34";"25,6";"172";
" 2005";"41";"16";"29";"23,7";"173";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Alleinerziehende mit Kindern unter 18 Jahren insgesamt können Kinder in beiden aufgeführten Altersgruppen haben, die Ergebnisse der Summierung weichen deshalb von den Insgesamt-Werten ab."
"2.";"Ab dem Berichtsjahr 2016 wurde die Stichprobe des Mikrozensus auf eine neue Grundlage umgestellt. Damit basiert die Stichprobe erstmalig auf den Daten des Zensus 2011. Durch diese Umstellung ist die Vergleichbarkeit der Ergebnisse des Mikrozensus 2016 mit den Vorjahren eingeschränkt."

****************************************************************************************************
Die Tabelle wurde am 03.08.2020 16:13 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Mikrozensus - Haushalts- und Familienstatistik, Statistisches Bundesamt, Zweigstelle Bonn"
